
Task2 Solution (Block Perspective) of Teaching Assistant:

        Block24: H4, C2, R12 (time=1.82)
        Block25: H4, C2, R21 (time=0.31)
        Block26: H2, C10, R18 (time=2.19)
        Block27: H2, C10, R26 (time=0.97)
        Block28: H4, C2, R8 (time=2.36)
        Block29: H4, C2, R16 (time=1.31)

Job5 obtains 2 cores (speed=9.25) and finishes at time 86.40:
        Block0: H3, C4, R12 (time=3.35)
        Block1: H1, C0, R6 (time=7.03)
        Block2: H3, C4, R3 (time=9.08)
        Block3: H3, C4, R6 (time=7.14)
        Block4: H1, C0, R7 (time=6.38)
        Block5: H3, C4, R13 (time=1.41)
        Block6: H1, C0, R4 (time=8.43)
        Block7: H3, C4, R8 (time=6.05)
        Block8: H1, C0, R5 (time=7.89)
        Block9: H1, C0, R3 (time=9.51)
        Block10: H1, C0, R8 (time=6.27)
        Block11: H3, C4, R10 (time=4.00)
        Block12: H1, C0, R1 (time=9.95)
        Block13: H1, C0, R9 (time=5.30)
        Block14: H3, C4, R7 (time=6.38)
        Block15: H1, C0, R2 (time=9.73)
        Block16: H3, C4, R1 (time=10.49)
        Block17: H3, C4, R5 (time=7.35)
        Block18: H3, C4, R14 (time=1.08)
        Block19: H3, C4, R2 (time=9.73)
        Block20: H3, C4, R9 (time=5.84)
        Block21: H3, C4, R4 (time=8.86)
        Block22: H1, C0, R11 (time=3.89)
        Block23: H1, C0, R12 (time=3.03)
        Block24: H1, C0, R10 (time=4.76)
        Block25: H3, C4, R11 (time=4.00)
        Block26: H1, C0, R13 (time=1.62)

Job6 obtains 3 cores (speed=34.00) and finishes at time 101.16:
        Block0: H3, C7, R14 (time=1.68)
        Block1: H3, C5, R4 (time=2.53)
        Block2: H2, C8, R29 (time=0.68)
        Block3: H3, C7, R20 (time=0.79)
        Block4: H3, C7, R3 (time=2.76)
        Block5: H2, C8, R13 (time=2.41)
        Block6: H3, C7, R18 (time=1.32)
        Block7: H3, C7, R10 (time=1.97)
        Block8: H3, C7, R22 (time=0.71)
        Block9: H3, C5, R1 (time=2.94)
        Block10: H3, C7, R24 (time=0.62)
        Block11: H2, C8, R20 (time=1.74)
        Block12: H3, C5, R14 (time=1.71)
        Block13: H3, C7, R5 (time=2.50)
        Block14: H2, C8, R27 (time=0.88)
        Block15: H3, C5, R12 (time=1.85)
        Block16: H2, C8, R25 (time=1.21)
        Block17: H2, C8, R32 (time=0.41)
        Block18: H3, C5, R7 (time=2.35)
        Block19: H3, C5, R20 (time=0.94)
        Block20: H2, C8, R8 (time=2.91)
        Block21: H3, C5, R3 (time=2.74)
        Block22: H2, C8, R9 (time=2.88)
        Block23: H3, C5, R11 (time=1.94)
        Block24: H3, C5, R6 (time=2.44)
        Block25: H2, C8, R33 (time=0.29)
        Block26: H3, C5, R9 (time=2.06)
        Block27: H3, C7, R7 (time=2.18)
        Block28: H2, C8, R31 (time=0.56)
        Block29: H3, C7, R21 (time=0.79)
        Block30: H3, C5, R10 (time=2.00)
        Block31: H3, C5, R2 (time=2.82)
        Block32: H3, C7, R25 (time=0.47)
        Block33: H2, C8, R16 (time=2.09)
        Block34: H2, C8, R14 (time=2.21)
        Block35: H3, C7, R6 (time=2.44)
        Block36: H2, C8, R21 (time=1.68)
        Block37: H2, C8, R23 (time=1.62)
        Block38: H2, C8, R15 (time=2.15)
        Block39: H2, C8, R30 (time=0.65)
        Block40: H3, C7, R16 (time=1.56)
        Block41: H2, C8, R17 (time=2.00)
        Block42: H3, C7, R8 (time=2.15)
        Block43: H3, C7, R19 (time=1.21)
        Block44: H3, C5, R15 (time=1.65)
        Block45: H3, C7, R15 (time=1.68)
        Block46: H2, C8, R24 (time=1.41)
        Block47: H3, C5, R5 (time=2.47)
        Block48: H3, C5, R22 (time=0.71)
        Block49: H2, C8, R12 (time=2.53)
        Block50: H2, C8, R28 (time=0.76)
        Block51: H3, C5, R21 (time=0.74)
        Block52: H2, C8, R10 (time=2.74)
        Block53: H2, C8, R11 (time=2.74)
        Block54: H2, C8, R26 (time=1.21)
        Block55: H3, C7, R12 (time=1.88)
        Block56: H3, C5, R18 (time=1.32)
        Block57: H3, C7, R4 (time=2.62)
        Block58: H3, C7, R1 (time=2.94)
        Block59: H2, C8, R19 (time=1.85)
        Block60: H3, C7, R9 (time=2.03)
        Block61: H3, C7, R23 (time=0.68)
        Block62: H3, C5, R19 (time=1.12)
        Block63: H3, C5, R13 (time=1.79)
        Block64: H3, C5, R8 (time=2.12)
        Block65: H3, C5, R17 (time=1.35)
        Block66: H2, C8, R22 (time=1.65)
        Block67: H3, C7, R13 (time=1.82)
        Block68: H3, C5, R25 (time=0.38)
        Block69: H3, C7, R17 (time=1.38)
        Block70: H2, C8, R18 (time=1.94)
        Block71: H3, C5, R16 (time=1.62)
        Block72: H3, C7, R2 (time=2.91)
        Block73: H3, C5, R24 (time=0.59)
        Block74: H3, C7, R11 (time=1.91)
        Block75: H3, C5, R26 (time=0.35)
        Block76: H3, C5, R23 (time=0.65)

Job7 obtains 7 cores (speed=10.45) and finishes at time 32.36:
        Block0: H2, C2, R5 (time=2.11)
        Block1: H2, C0, R3 (time=6.03)
        Block2: H2, C10, R5 (time=3.35)
        Block3: H2, C10, R1 (time=8.13)
        Block4: H0, C1, R6 (time=2.01)
        Block5: H2, C5, R5 (time=2.87)
