
Task1 Solution (Block Perspective) of Teaching Assistant:

        Block2: H0, C5, R29 (time=4.87)
        Block3: H0, C4, R22 (time=1.73)
        Block4: H0, C3, R27 (time=4.74)
        Block5: H0, C4, R19 (time=5.32)
        Block6: H0, C9, R15 (time=6.09)
        Block7: H0, C9, R16 (time=5.00)
        Block8: H0, C8, R20 (time=5.71)
        Block9: H0, C5, R31 (time=2.69)
        Block10: H0, C5, R28 (time=6.09)
        Block11: H0, C1, R15 (time=1.35)
        Block12: H0, C4, R23 (time=1.47)
        Block13: H0, C3, R26 (time=6.09)
        Block14: H0, C5, R30 (time=4.68)
        Block15: H0, C4, R20 (time=4.17)
        Block16: H0, C1, R11 (time=5.26)
        Block17: H0, C3, R31 (time=1.67)
        Block18: H0, C9, R17 (time=4.68)
        Block19: H0, C8, R23 (time=3.33)
        Block20: H0, C1, R14 (time=1.79)
        Block21: H0, C3, R30 (time=1.99)
        Block22: H0, C9, R20 (time=1.54)
        Block23: H0, C1, R12 (time=4.42)
        Block24: H0, C3, R29 (time=2.76)
        Block25: H0, C4, R18 (time=5.83)
        Block26: H0, C8, R24 (time=1.92)
        Block27: H0, C4, R21 (time=3.65)
        Block28: H0, C8, R21 (time=5.71)
        Block29: H0, C9, R18 (time=2.69)
        Block30: H0, C9, R19 (time=1.99)
        Block31: H0, C5, R33 (time=1.54)
        Block32: H0, C3, R28 (time=4.74)
        Block33: H0, C1, R10 (time=5.83)
        Block34: H0, C8, R22 (time=4.10)

Job8 obtains 1 cores (speed=28.00) and finishes at time 137.80:
        Block0: H0, C6, R19 (time=2.75)
        Block1: H0, C6, R40 (time=1.18)
        Block2: H0, C6, R47 (time=0.79)
        Block3: H0, C6, R39 (time=1.25)
        Block4: H0, C6, R23 (time=2.46)
        Block5: H0, C6, R15 (time=3.11)
        Block6: H0, C6, R28 (time=2.07)
        Block7: H0, C6, R44 (time=0.89)
        Block8: H0, C6, R34 (time=1.89)
        Block9: H0, C6, R11 (time=3.18)
        Block10: H0, C6, R45 (time=0.86)
        Block11: H0, C6, R29 (time=2.07)
        Block12: H0, C6, R25 (time=2.21)
        Block13: H0, C6, R41 (time=1.11)
        Block14: H0, C6, R31 (time=1.96)
        Block15: H0, C6, R48 (time=0.71)
        Block16: H0, C6, R21 (time=2.68)
        Block17: H0, C6, R16 (time=3.07)
        Block18: H0, C6, R46 (time=0.82)
        Block19: H0, C6, R22 (time=2.64)
        Block20: H0, C6, R42 (time=1.07)
        Block21: H0, C6, R10 (time=3.29)
        Block22: H0, C6, R37 (time=1.43)
        Block23: H0, C6, R18 (time=2.79)
        Block24: H0, C6, R12 (time=3.18)
        Block25: H0, C6, R35 (time=1.89)
        Block26: H0, C6, R14 (time=3.14)
        Block27: H0, C6, R26 (time=2.18)
        Block28: H0, C6, R38 (time=1.39)
        Block29: H0, C6, R43 (time=0.96)
        Block30: H0, C6, R24 (time=2.25)
        Block31: H0, C6, R32 (time=1.93)
        Block32: H0, C6, R20 (time=2.75)
        Block33: H0, C6, R9 (time=3.50)
        Block34: H0, C6, R13 (time=3.18)
        Block35: H0, C6, R27 (time=2.14)
        Block36: H0, C6, R17 (time=2.93)
        Block37: H0, C6, R30 (time=2.04)
        Block38: H0, C6, R36 (time=1.68)
        Block39: H0, C6, R33 (time=1.93)

Job9 obtains 7 cores (speed=17.40) and finishes at time 269.35:
        Block0: H0, C5, R53 (time=1.55)
        Block1: H0, C4, R42 (time=5.23)
        Block2: H0, C0, R42 (time=4.48)
        Block3: H0, C6, R89 (time=4.83)
        Block4: H0, C2, R33 (time=4.37)
        Block5: H0, C2, R32 (time=4.54)
        Block6: H0, C5, R52 (time=4.08)
        Block7: H0, C3, R41 (time=2.64)
        Block8: H0, C7, R41 (time=2.01)
        Block9: H0, C6, R90 (time=3.45)
        Block10: H0, C5, R51 (time=4.66)
        Block11: H0, C6, R91 (time=2.07)
        Block12: H0, C0, R43 (time=4.43)
        Block13: H0, C7, R39 (time=4.94)
        Block14: H0, C3, R39 (time=5.23)
        Block15: H0, C4, R43 (time=3.05)
        Block16: H0, C4, R44 (time=2.47)
        Block17: H0, C7, R40 (time=3.39)
        Block18: H0, C3, R40 (time=2.99)

Job10 obtains 5 cores (speed=19.44) and finishes at time 122.41:
        Block0: H0, C4, R11 (time=3.70)
        Block1: H0, C5, R22 (time=2.93)
        Block2: H0, C8, R17 (time=2.31)
        Block3: H0, C4, R16 (time=1.54)
        Block4: H0, C5, R25 (time=2.16)
        Block5: H0, C8, R12 (time=4.01)
        Block6: H0, C5, R18 (time=4.89)
        Block7: H0, C7, R10 (time=3.81)
        Block8: H0, C7, R8 (time=4.84)
        Block9: H0, C7, R13 (time=2.78)
        Block10: H0, C8, R18 (time=2.26)
        Block11: H0, C3, R20 (time=3.29)
        Block12: H0, C5, R24 (time=2.57)
        Block13: H0, C3, R19 (time=3.76)
        Block14: H0, C4, R12 (time=2.88)
        Block15: H0, C4, R15 (time=2.11)
        Block16: H0, C5, R20 (time=3.91)
        Block17: H0, C4, R8 (time=4.89)
        Block18: H0, C3, R24 (time=2.06)
        Block19: H0, C3, R17 (time=4.68)
        Block20: H0, C5, R23 (time=2.83)
        Block21: H0, C8, R19 (time=1.75)
        Block22: H0, C3, R23 (time=2.52)
        Block23: H0, C4, R9 (time=4.06)
        Block24: H0, C8, R15 (time=3.14)
        Block25: H0, C4, R13 (time=2.83)
        Block26: H0, C3, R18 (time=4.68)
        Block27: H0, C5, R27 (time=1.39)
        Block28: H0, C4, R17 (time=1.13)
        Block29: H0, C4, R14 (time=2.57)
        Block30: H0, C7, R12 (time=2.88)
        Block31: H0, C3, R21 (time=3.19)
        Block32: H0, C7, R9 (time=4.48)
        Block33: H0, C4, R10 (time=3.96)
        Block34: H0, C7, R15 (time=2.01)
        Block35: H0, C7, R11 (time=3.50)
        Block36: H0, C5, R26 (time=1.49)
        Block37: H0, C5, R19 (time=4.17)
        Block38: H0, C8, R14 (time=3.55)
        Block39: H0, C7, R14 (time=2.67)
        Block40: H0, C5, R21 (time=3.60)
        Block41: H0, C8, R16 (time=2.73)
        Block42: H0, C8, R13 (time=3.96)
        Block43: H0, C8, R11 (time=5.04)
        Block44: H0, C7, R16 (time=1.90)
        Block45: H0, C3, R25 (time=1.80)
        Block46: H0, C3, R22 (time=2.78)

Job11 obtains 6 cores (speed=13.65) and finishes at time 258.48:
        Block0: H0, C8, R47 (time=2.05)
        Block1: H0, C8, R45 (time=4.62)
        Block2: H0, C7, R37 (time=3.08)
        Block3: H0, C0, R38 (time=6.08)
        Block4: H0, C3, R38 (time=1.90)
        Block5: H0, C2, R31 (time=1.61)
        Block6: H0, C3, R36 (time=3.96)
        Block7: H0, C0, R40 (time=3.15)
        Block8: H0, C8, R46 (time=4.18)
        Block9: H0, C9, R47 (time=2.64)
        Block10: H0, C9, R48 (time=1.76)
        Block11: H0, C9, R45 (time=4.62)
        Block12: H0, C7, R34 (time=6.74)
        Block13: H0, C9, R44 (time=7.03)
        Block14: H0, C7, R35 (time=4.91)
        Block15: H0, C3, R34 (time=6.15)
        Block16: H0, C8, R44 (time=6.96)
        Block17: H0, C8, R48 (time=1.90)
        Block18: H0, C7, R38 (time=1.47)
        Block19: H0, C3, R35 (time=5.42)
        Block20: H0, C9, R46 (time=3.66)
        Block21: H0, C2, R28 (time=4.69)
        Block22: H0, C0, R39 (time=6.01)
        Block23: H0, C0, R41 (time=3.08)
        Block24: H0, C2, R30 (time=2.05)
        Block25: H0, C3, R37 (time=2.12)
        Block26: H0, C2, R27 (time=6.81)
        Block27: H0, C2, R29 (time=4.54)
        Block28: H0, C7, R36 (time=3.37)

Job12 obtains 10 cores (speed=9.62) and finishes at time 14.55:
        Block0: H0, C7, R2 (time=4.78)
        Block1: H0, C8, R1 (time=8.11)
        Block2: H0, C8, R2 (time=4.89)
        Block3: H0, C7, R1 (time=8.32)
        Block4: H0, C9, R1 (time=10.08)
